,Rank,Artists,Title
0,1,Bing Crosby,White Christmas
1,2,Bill Haley,Rock Around the Clock
2,3,Celine Dion,My Heart Will Go On
3,4,Sinead O'Connor,Nothing Compares 2 U
4,5,The Beatles,Hey Jude
5,6,Bryan Adams,I Do it For You
6,7,Whitney Houston,I Will Always Love You
7,8,Pink Floyd,Another Brick in the Wall
8,9,Irene Cara,Flashdance... What a Feeling
9,10,Elton John,Candle in the Wind '97
10,11,The Rolling Stones,Satisfaction
11,12,Coolio,Gangsta's Paradise
12,13,Eminem,Lose Yourself
13,14,Cher,Believe
14,15,Usher,Yeah!
15,16,The Beatles,Let it Be
16,17,Procol Harum,A Whiter Shade of Pale
17,18,Bee Gees,Stayin' Alive
18,19,Leona Lewis,Bleeding Love
19,20,The Police,Every Breath You Take
20,21,Kim Carnes,Bette Davis Eyes
21,22,Rihanna,Umbrella
22,23,George Harrison,My Sweet Lord
23,24,Abba,Dancing Queen
24,25,P Diddy,I'll Be Missing You
25,26,Britney Spears,Baby One More Time
26,27,The Beatles,I Want to Hold Your Hand
27,28,Michael Jackson,Billie Jean
28,29,Bobby Darin,Mack the Knife
29,30,John Travolta,You're the One That I Want
30,31,USA For Africa,We Are the World
31,32,Hanson,Mmmbop
32,33,Madonna,Vogue
33,34,Spice Girls,Wannabe
34,35,Roy Orbison,"Oh, Pretty Woman"
35,36,Eminem,Without Me
36,37,The Village People,YMCA
37,38,Stevie Wonder,I Just Called to Say I Love You
38,39,George Michael,Careless Whisper
39,40,John Lennon,Imagine
40,41,Survivor,Eye of the Tiger
41,42,Los Del Rio,Macarena
42,43,Elvis Presley,Are You Lonesome Tonight?
43,44,UB40,Can't Help Falling in Love
44,45,OutKast,Hey Ya!
45,46,Queen,Bohemian Rhapsody
46,47,Barbra Streisand,A Woman in Love
47,48,Katy Perry,I Kissed A Girl
48,49,Judy Garland,Over the Rainbow
49,50,Elvis Presley,It's Now Or Never
50,51,No Doubt,Don't Speak
51,52,Shakira,Hips don't lie
52,53,50 Cent,In Da Club
53,54,Kylie Minogue,Can't Get You Out of My Head
54,55,The Black Eyed Peas,Where is the Love?
55,56,The Rolling Stones,Angie
56,57,Mungo Jerry,In the Summertime
57,58,Vaughn Monroe,Riders in the Sky
58,59,Lady GaGa,Poker Face
59,60,Ace of Base,The Sign
60,61,Carl Douglas,Kung Fu Fighting
61,62,Justin Timberlake,Sexyback
62,63,Madonna,Hung Up
63,64,Elvis Presley,Jailhouse Rock
64,65,The Beatles,Help!
65,66,Joan Jett,I Love Rock 'n' Roll
66,67,Ricky Martin,Livin' La Vida Loca
67,68,The Monkees,I'm a Believer
68,69,Shakira,"Whenever, Wherever"
69,70,Rihanna,We Found Love
70,71,Frank Sinatra,Strangers in the Night
